block_no	trial_no	trainOrTest	pan	SNR-BaseRate	signal	response	response_type	balance	RT
2	104	1	-0.10132939	1	2	2	3	2520	292
2	223	1	-0.18790494	1	2	2	3	2530	103
2	204	1	-4.5643802e-002	1	2	2	3	2540	604
2	137	1	-0.28727507	1	2	2	3	2550	326
2	215	1	-0.23939985	1	2	2	3	2560	183
2	61	1	1.0542174e-002	1	1	1	1	2570	1136
2	228	1	-0.11715008	1	2	2	3	2580	148
2	115	1	-0.23188602	1	2	2	3	2590	71
2	203	1	-0.1001298	1	2	2	3	2600	132
2	219	1	-4.5429684e-002	1	2	2	3	2610	81
2	117	1	-8.263233e-003	1	2	1	4	2610	376
2	92	1	-0.10117722	1	2	2	3	2620	109
2	103	1	-0.22551225	1	2	2	3	2630	138
2	175	1	-0.21608036	1	2	2	3	2640	311
2	185	1	-7.1467428e-002	1	2	2	3	2650	445
2	141	1	-0.21115514	1	2	2	3	2660	1367
2	126	1	-0.22557339	1	2	2	3	2670	323
2	124	1	-9.342674e-002	1	2	2	3	2680	438
2	97	1	-5.8490166e-002	1	2	2	3	2690	322
2	172	1	7.5675277e-002	1	2	1	4	2690	167
2	187	1	-0.23754091	1	2	2	3	2700	279
2	68	1	0.18211527	1	1	1	1	2710	1012
2	170	1	-0.14159701	1	2	2	3	2720	2344
2	55	1	7.0140904e-002	1	1	1	1	2730	2361
2	220	1	-0.11553408	1	2	2	3	2740	582
2	95	1	0.21095092	1	2	1	4	2740	1849
2	142	1	-1.4491938e-002	1	2	2	3	2750	2635
2	227	1	-5.20646e-004	1	2	2	3	2760	3477
2	202	1	-4.0910144e-002	1	2	2	3	2770	1183
2	192	1	-0.20880772	1	2	2	3	2780	544
2	135	1	3.3935712e-002	1	2	2	3	2790	2620
2	76	1	4.4121003e-002	1	1	2	2	2790	1202
2	78	1	0.12457834	1	1	1	1	2800	203
2	69	1	2.4207995e-002	1	1	1	1	2810	118
2	162	1	-6.466193e-002	1	2	2	3	2820	498
2	44	1	0.1586436	1	1	1	1	2830	118
2	183	1	-1.3139049e-002	1	2	2	3	2840	55
2	87	1	7.8335692e-002	1	1	1	1	2850	122
2	45	1	9.603417e-002	1	1	1	1	2860	234
2	105	1	2.73617254e-002	1	2	1	4	2860	236
2	218	1	-3.7179226e-002	1	2	2	3	2870	126
2	196	1	0.14273835	1	2	1	4	2870	187
2	130	1	-0.19664453	1	2	2	3	2880	320
2	149	1	-0.17614645	1	2	2	3	2890	44
2	86	1	-1.949939017e-002	1	1	2	2	2890	140
2	102	1	-0.17233815	1	2	2	3	2900	134
2	146	1	-8.882594e-002	1	2	2	3	2910	410
2	213	1	-4.7428047e-002	1	2	2	3	2920	375
2	157	1	-4.5782133e-002	1	2	2	3	2930	644
2	182	1	-1.6702408e-002	1	2	1	4	2930	194
2	191	1	-0.15794755	1	2	2	3	2940	79
2	179	1	5.8243584e-002	1	2	1	4	2940	126
2	72	1	-2.82401244e-002	1	1	2	2	2940	66
2	171	1	-1.1246945e-002	1	2	2	3	2950	131
2	42	1	-3.5762176e-002	1	1	2	2	2950	126
2	101	1	-0.38789632	1	2	2	3	2960	275
2	163	1	-8.444265e-003	1	2	2	3	2970	382
2	113	1	6.1674407e-002	1	2	1	4	2970	170
2	188	1	-0.12603391	1	2	2	3	2980	73
2	186	1	-5.369847e-002	1	2	2	3	2990	161
2	110	1	-0.19855783	1	2	2	3	3000	133
3	22	0	5.0124214e-002	3	1	1	1	3000	355
3	8	0	-2.92419273e-002	3	1	1	1	3000	132
3	15	0	0.11135621	3	1	1	1	3000	30
3	11	0	0.23337581	3	1	1	1	3000	364
3	9	0	-3.8631716e-002	3	1	2	2	3000	285
3	34	0	-0.10847511	3	2	2	3	3000	49
3	21	0	0.27347692	3	1	1	1	3000	47
3	13	0	0.175323	3	1	1	1	3000	59
3	33	0	-3.0282193e-002	3	2	2	3	3000	180
3	1	0	-2.19876562e-002	3	1	1	1	3000	330
3	38	0	0.13297614	3	2	1	4	3000	81
3	5	0	0.13167275	3	1	1	1	3000	72
3	32	0	-8.324914e-002	3	2	2	3	3000	24
3	40	0	0.15246577	3	2	1	4	3000	71
3	29	0	-3.0366566e-002	3	1	2	2	3000	92
3	19	0	5.1944397e-002	3	1	1	1	3000	30
3	37	0	-0.21163658	3	2	2	3	3000	113
3	10	0	0.11383675	3	1	1	1	3000	39
3	26	0	5.3873597e-002	3	1	2	2	3000	331
3	2	0	0.13552483	3	1	1	1	3000	98
3	36	0	-0.11249153	3	2	2	3	3000	103
3	23	0	0.11829812	3	1	1	1	3000	101
3	4	0	0.28614805	3	1	1	1	3000	172
3	27	0	7.3855205e-002	3	1	1	1	3000	370
3	17	0	7.81766999999999e-004	3	1	2	2	3000	186
3	18	0	0.15440953	3	1	1	1	3000	42
3	30	0	3.4121782e-002	3	1	1	1	3000	98
3	7	0	6.2359489e-002	3	1	1	1	3000	120
3	6	0	0.13178204	3	1	1	1	3000	44
3	12	0	0.11777978	3	1	1	1	3000	56
3	14	0	3.0985652e-002	3	1	1	1	3000	20
3	16	0	5.3619508e-002	3	1	1	1	3000	307
3	3	0	0.10699959	3	1	1	1	3000	228
3	39	0	-9.961227e-002	3	2	2	3	3000	125
3	25	0	9.564592e-002	3	1	1	1	3000	24
3	28	0	3.6510476e-002	3	1	1	1	3000	245
3	20	0	-0.24169378	3	1	2	2	3000	129
3	31	0	-0.17514134	3	2	2	3	3000	60
3	24	0	3.4561251e-002	3	1	1	1	3000	861
3	35	0	-8.458646e-002	3	2	2	3	3000	225
